id,category,min_income,max_income,rate
kaifa_ter_a_1,A,0,5400000,0
kaifa_ter_a_2,A,5400001,5650000,0.0025
kaifa_ter_a_3,A,5650001,5950000,0.005
kaifa_ter_a_4,A,5950001,6300000,0.0075
kaifa_ter_a_5,A,6300001,6750000,0.01
kaifa_ter_a_6,A,6750001,7500000,0.0125
kaifa_ter_a_7,A,7500001,8550000,0.015
kaifa_ter_a_8,A,8550001,9650000,0.0175
kaifa_ter_a_9,A,9650001,10050000,0.02
kaifa_ter_a_10,A,10050001,10350000,0.0225
kaifa_ter_a_11,A,10350001,10700000,0.025
kaifa_ter_a_12,A,10700001,11050000,0.03
kaifa_ter_a_13,A,11050001,11600000,0.035
kaifa_ter_a_14,A,11600001,12500000,0.04
kaifa_ter_a_15,A,12500001,13750000,0.05
kaifa_ter_a_16,A,13750001,15100000,0.06
kaifa_ter_a_17,A,15100001,16950000,0.07
kaifa_ter_a_18,A,16950001,19750000,0.08
kaifa_ter_a_19,A,19750001,24150000,0.09
kaifa_ter_a_20,A,24150001,26450000,0.1
kaifa_ter_a_21,A,26450001,28000000,0.11
kaifa_ter_a_22,A,28000001,30050000,0.12
kaifa_ter_a_23,A,30050001,32400000,0.13
kaifa_ter_a_24,A,32400001,35400000,0.14
kaifa_ter_a_25,A,35400001,39100000,0.15
kaifa_ter_a_26,A,39100001,43850000,0.16
kaifa_ter_a_27,A,43850001,47800000,0.17
kaifa_ter_a_28,A,47800001,51400000,0.18
kaifa_ter_a_29,A,51400001,56300000,0.19
kaifa_ter_a_30,A,56300001,62200000,0.2
kaifa_ter_a_31,A,62200001,68600000,0.21
kaifa_ter_a_32,A,68600001,77500000,0.22
kaifa_ter_a_33,A,77500001,89000000,0.23
kaifa_ter_a_34,A,89000001,103000000,0.24
kaifa_ter_a_35,A,103000001,125000000,0.25
kaifa_ter_a_36,A,125000001,157000000,0.26
kaifa_ter_a_37,A,157000001,206000000,0.27
kaifa_ter_a_38,A,206000001,337000000,0.28
kaifa_ter_a_39,A,337000001,454000000,0.29
kaifa_ter_a_40,A,454000001,550000000,0.3
kaifa_ter_a_41,A,550000001,695000000,0.31
kaifa_ter_a_42,A,695000001,910000000,0.32
kaifa_ter_a_43,A,910000001,1400000000,0.33
kaifa_ter_a_44,A,1400000001,100000000000,0.34
kaifa_ter_b_1,B,0,6200000,0
kaifa_ter_b_2,B,6200001,6500000,0.0025
kaifa_ter_b_3,B,6500001,6850000,0.005
kaifa_ter_b_4,B,6850001,7300000,0.0075
